Taiwan,台灣,目前安全,0
Albania,阿爾巴尼亞,灰色警示-提醒注意,1
Algeria,阿爾及利亞,黃色警示-特別注意旅遊安全並檢討應否前往,2
Angola,安哥拉,黃色警示-特別注意旅遊安全並檢討應否前往,2
Anguilla,安圭拉,目前安全,0
Argentina,阿根廷,黃色警示-特別注意旅遊安全並檢討應否前往,2
Armenia,亞美尼亞,橙色警示-避免非必要旅行,3
Aruba,阿路巴,目前安全,0
Australia,澳大利亞,灰色警示-提醒注意,1
Austria,奧地利,灰色警示-提醒注意,1
Azerbaijan,亞塞拜然,目前安全,0
Bahrain,巴林,黃色警示-特別注意旅遊安全並檢討應否前往,2
Bangladesh,孟加拉,橙色警示-避免非必要旅行,3
Barbados,巴貝多,目前安全,0
Belarus,白俄羅斯,灰色警示-提醒注意,1
Belgium,比利時,黃色警示-特別注意旅遊安全並檢討應否前往,2
Belize,貝里斯,灰色警示-提醒注意,1
Benin,貝南,橙色警示-避免非必要旅行,3
Bermuda,百慕達,目前安全,0
Bhutan,不丹,灰色警示-提醒注意,1
Bolivia,玻利維亞,黃色警示-特別注意旅遊安全並檢討應否前往,2
Bosnia and Herzegovina,波士尼亞與赫塞哥維納,灰色警示-提醒注意,1
Botswana,波札那,黃色警示-特別注意旅遊安全並檢討應否前往,2
Brazil,巴西,黃色警示-特別注意旅遊安全並檢討應否前往,2
Brunei,汶萊,灰色警示-提醒注意,1
Bulgaria,保加利亞,灰色警示-提醒注意,1
Burkina Faso,布吉納法索,黃色警示-特別注意旅遊安全並檢討應否前往,2
Burundi,蒲隆地,紅色警示-不宜前往，宜儘速離境,4
Cambodia,柬埔寨,灰色警示-提醒注意,1
Cameroon,喀麥隆,紅色警示-不宜前往，宜儘速離境,4
Canada,加拿大,目前安全,0
Cape Verde,維德角島,黃色警示-特別注意旅遊安全並檢討應否前往,2
Cayman Islands,開曼群島,目前安全,0
Central African Republic,中非共和國,目前安全,0
Chad,查德,紅色警示-不宜前往，宜儘速離境,4
Chile,智利,灰色警示-提醒注意,1
China,中國,目前安全,0
Colombia,哥倫比亞,黃色警示-特別注意旅遊安全並檢討應否前往,2
Republic of the Congo,剛果,橙色警示-避免非必要旅行,3
Cook Islands,科克群島,目前安全,0
Costa Rica,哥斯大黎加,灰色警示-提醒注意,1
Ivory Coast,象牙海岸,橙色警示-避免非必要旅行,3
Croatia,克羅埃西亞,灰色警示-提醒注意,1
Cyprus,賽普勒斯,灰色警示-提醒注意,1
Czech Republic,捷克,灰色警示-提醒注意,1
Denmark,丹麥,灰色警示-提醒注意,1
Dominican Republic,多明尼加,灰色警示-提醒注意,1
Dominica,多米尼克,目前安全,0
Ecuador,厄瓜多,黃色警示-特別注意旅遊安全並檢討應否前往,2
Egypt,埃及,黃色警示-特別注意旅遊安全並檢討應否前往,2
Eritrea,厄利垂亞,橙色警示-避免非必要旅行,3
Estonia,愛沙尼亞,灰色警示-提醒注意,1
Ethiopia,衣索匹亞,目前安全,0
Fiji,斐濟,黃色警示-特別注意旅遊安全並檢討應否前往,2
Finland,芬蘭,灰色警示-提醒注意,1
French Polynesia,法屬玻里尼西亞,灰色警示-提醒注意,1
France,法國,灰色警示-提醒注意,1
Gabon,加彭,黃色警示-特別注意旅遊安全並檢討應否前往,2
Georgia,喬治亞,灰色警示-提醒注意,1
Germany,德國,灰色警示-提醒注意,1
Ghana,迦納,黃色警示-特別注意旅遊安全並檢討應否前往,2
Gibraltar,直布羅陀,目前安全,0
United Kingdom,英國,灰色警示-提醒注意,1
Greece,希臘,灰色警示-提醒注意,1
Grenada,格瑞那達,灰色警示-提醒注意,1
Guatemala,瓜地馬拉,黃色警示-特別注意旅遊安全並檢討應否前往,2
Guinea,幾內亞,紅色警示-不宜前往，宜儘速離境,4
Guyana,蓋亞那,灰色警示-提醒注意,1
Haiti,海地,黃色警示-特別注意旅遊安全並檢討應否前往,2
Honduras,宏都拉斯,黃色警示-特別注意旅遊安全並檢討應否前往,2
Hong Kong,香港,目前安全,0
Hungary,匈牙利,灰色警示-提醒注意,1
Iceland,冰島,灰色警示-提醒注意,1
India,印度,黃色警示-特別注意旅遊安全並檢討應否前往,2
Indonesia,印尼,黃色警示-特別注意旅遊安全並檢討應否前往,2
Iraq,伊拉克,紅色警示-不宜前往，宜儘速離境,4
Ireland,愛爾蘭,灰色警示-提醒注意,1
Israel,以色列,黃色警示-特別注意旅遊安全並檢討應否前往,2
Italy,義大利,灰色警示-提醒注意,1
Jamaica,牙買加,灰色警示-提醒注意,1
Japan,日本,紅色警示-不宜前往，宜儘速離境,4
Jordan,約旦,灰色警示-提醒注意,1
Kenya,肯亞,橙色警示-避免非必要旅行,3
South Korea,南韓,目前安全,0
North Korea,北韓,橙色警示-避免非必要旅行,3
Kuwait,科威特,灰色警示-提醒注意,1
Laos,寮國,灰色警示-提醒注意,1
Luxembourg,盧森堡,灰色警示-提醒注意,1
Macao,澳門,目前安全,0
Macedonia,馬其頓,灰色警示-提醒注意,1
Madagascar,馬達加斯加,橙色警示-避免非必要旅行,3
Malawi,馬拉威,灰色警示-提醒注意,1
Malaysia,馬來西亞,橙色警示-避免非必要旅行,3
Maldives,馬爾地夫,灰色警示-提醒注意,1
Mali,馬利,灰色警示-提醒注意,1
Malta,馬爾他,灰色警示-提醒注意,1
Mauritius,模里西斯,灰色警示-提醒注意,1
Mauritania,茅利塔尼亞,紅色警示-不宜前往，宜儘速離境,4
Mexico,墨西哥,黃色警示-特別注意旅遊安全並檢討應否前往,2
Moldova,摩爾多瓦,目前安全,0
Mongolia,蒙古,灰色警示-提醒注意,1
Morocco,摩洛哥,灰色警示-提醒注意,1
Myanmar,緬甸,橙色警示-避免非必要旅行,3
Namibia,納米比亞,灰色警示-提醒注意,1
Nauru,諾魯,灰色警示-提醒注意,1
Nepal,尼泊爾,黃色警示-特別注意旅遊安全並檢討應否前往,2
Netherlands,荷蘭,灰色警示-提醒注意,1
New Caledonia,新喀里多尼亞,黃色警示-特別注意旅遊安全並檢討應否前往,2
New Zealand,紐西蘭,灰色警示-提醒注意,1
Niger,尼日,紅色警示-不宜前往，宜儘速離境,4
Nigeria,奈及利亞,紅色警示-不宜前往，宜儘速離境,4
Norway,挪威,灰色警示-提醒注意,1
Oman,阿曼,目前安全,0
Pakistan,巴基斯坦,紅色警示-不宜前往，宜儘速離境,4
Panama,巴拿馬,灰色警示-提醒注意,1
Papua New Guinea,巴布亞紐幾內亞,黃色警示-特別注意旅遊安全並檢討應否前往,2
Paraguay,巴拉圭,灰色警示-提醒注意,1
Peru,秘魯,黃色警示-特別注意旅遊安全並檢討應否前往,2
Philippines,菲律賓,黃色警示-特別注意旅遊安全並檢討應否前往,2
Poland,波蘭,灰色警示-提醒注意,1
Portugal,葡萄牙,灰色警示-提醒注意,1
Qatar,卡達,灰色警示-提醒注意,1
Romania,羅馬尼亞,灰色警示-提醒注意,1
Russia,俄羅斯,黃色警示-特別注意旅遊安全並檢討應否前往,2
Rwanda,盧安達,黃色警示-特別注意旅遊安全並檢討應否前往,2
Saint Christopher and Nevis,聖克里斯多福及尼維斯,灰色警示-提醒注意,1
Saint Lucia,聖露西亞,灰色警示-提醒注意,1
Saint Vincent and the Grenadines,聖文森及格瑞那丁,目前安全,0
Sao Tome and Principe,聖多美普林西比,黃色警示-特別注意旅遊安全並檢討應否前往,2
Saudi Arabia,沙烏地阿拉伯,橙色警示-避免非必要旅行,3
Senegal,塞內加爾,灰色警示-提醒注意,1
Seychelles,塞席爾,灰色警示-提醒注意,1
